what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1365866941471
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1365866943810
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1365866956281
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1365866959316
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1365866966309
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1365866968583
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365866972412
error,log,,,"No command output when running: 'am start -n irdc.EX08_01/irdc.EX08_01.EX08_01 -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1365866985111
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365866995595
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1365866996354
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365866998067
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365867001634
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1365867001712
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1365867008356
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1365867008412
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365867018356
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365867019931
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365867086750
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365867091954
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1365867096645
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1365867099231
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1365867161851
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1365867164918
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365867166003
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365867190873
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1365867192300
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1365867207128
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1365867215969
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1365867219016
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1365867220254
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1365867234761
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1365867237302
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365867240249
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365867242321
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1365867242374
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365867246332
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365867265584
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1365867277651
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365867280960
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365867283688
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1365867285178
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1365867287269
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365867293394
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365867321352
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1365867321940
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1365867346092
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1365867350144
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1365867353349
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365867354360
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365867384399
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1365867387658
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1365867389716
closed,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1365867389753
started,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1365867389847
started,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1365867389883
started,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1365867389898
started,bundle,org.eclipse.mylyn.wikitext.core,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.core",1365867389925
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1365867390955
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365867395887
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365867397639
error,log,,,"Referenced part does not exist yet: org.eclipse.ui.views.ProblemView.",1365867399959
started,bundle,org.eclipse.cdt.dsf.ui,2.1.2.201102110609,"org.eclipse.cdt.dsf.ui",1365867400482
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1365867400742
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1365867400975
opened,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1365867401046
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1365867401142
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.perspectives.showPerspective",1365867401188
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1365867401188
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1365867404080
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1365867414766
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1365867417014
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1365867417785
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365867421424
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365867423926
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1365867423988
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1365867427185
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1365867427250
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1365867427485
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365867439520
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365867457417
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365867459743
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365867461423
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1365867467932
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1365867467985
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1365867480005
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1365867483477
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1365867486061
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1365867487105
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1365867492353
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1365867494276
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1365867502429
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365867504195
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365867504366
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1365867528597
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1365867556972
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1365867559061
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1365867561840
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1365867563060
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1365867563625
